Category,Completed,Problem,Link,Difficulty,CompletedWithThisScript
Arrays & Hashing,True,Contains Duplicate,/problems/duplicate-integer,Easy,True
Arrays & Hashing,True,Valid Anagram,/problems/is-anagram,Easy,True
Arrays & Hashing,False,Concatenation of Array,https://leetcode.com/problems/concatenation-of-array/,Easy,True
Arrays & Hashing,False,Replace Elements With Greatest Element On Right Side,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/,Easy,False
Arrays & Hashing,False,Is Subsequence,https://leetcode.com/problems/is-subsequence/,Easy,False
Arrays & Hashing,False,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,False
Arrays & Hashing,True,Two Sum,/problems/two-integer-sum,Easy,True
Arrays & Hashing,False,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,False
Arrays & Hashing,True,Group Anagrams,/problems/anagram-groups,Medium,True
Arrays & Hashing,False,Pascals Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,False
Arrays & Hashing,False,Remove Element,https://leetcode.com/problems/remove-element/,Easy,False
Arrays & Hashing,False,Unique Email Addresses,https://leetcode.com/problems/unique-email-addresses/,Easy,False
Arrays & Hashing,False,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,False
Arrays & Hashing,False,Can Place Flowers,https://leetcode.com/problems/can-place-flowers/,Easy,False
Arrays & Hashing,False,Majority Element,https://leetcode.com/problems/majority-element/,Easy,False
Arrays & Hashing,False,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,Easy,False
Arrays & Hashing,False,Find Pivot Index,https://leetcode.com/problems/find-pivot-index/,Easy,False
Arrays & Hashing,False,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable/,Easy,False
Arrays & Hashing,False,Find All Numbers Disappeared in An Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,Easy,False
Arrays & Hashing,False,Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons/,Easy,False
Arrays & Hashing,False,Word Pattern,https://leetcode.com/problems/word-pattern/,Easy,False
Arrays & Hashing,False,Design HashSet,https://leetcode.com/problems/design-hashset/,Easy,False
Arrays & Hashing,False,Design HashMap,https://leetcode.com/problems/design-hashmap/,Easy,False
Arrays & Hashing,False,Monotonic Array,https://leetcode.com/problems/monotonic-array,Easy,True
Arrays & Hashing,False,Number of Good Pairs,https://leetcode.com/problems/number-of-good-pairs,Easy,False
Arrays & Hashing,False,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii,Easy,False
Arrays & Hashing,False,Find Words That Can Be Formed by Characters,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,Easy,False
Arrays & Hashing,False,Largest 3-Same-Digit Number in String,https://leetcode.com/problems/largest-3-same-digit-number-in-string,Easy,False
Arrays & Hashing,False,Destination City,https://leetcode.com/problems/destination-city,Easy,False
Arrays & Hashing,False,Maximum Product Difference Between Two,https://leetcode.com/problems/maximum-product-difference-between-two-pairs,Easy,False
Arrays & Hashing,False,Maximum Score After Splitting a String,https://leetcode.com/problems/maximum-score-after-splitting-a-string,Easy,False
Arrays & Hashing,False,Path Crossing,https://leetcode.com/problems/path-crossing,Easy,False
Arrays & Hashing,False,Minimum Changes To Make Alternating Binary String,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,Easy,False
Arrays & Hashing,False,Redistribute Characters to Make All Strings Equal,https://leetcode.com/problems/redistribute-characters-to-make-all-strings-equal,Easy,False
Arrays & Hashing,False,Largest Substring Between Two Equal Characters,https://leetcode.com/problems/largest-substring-between-two-equal-characters,Easy,False
Arrays & Hashing,False,Set Mismatch,https://leetcode.com/problems/set-mismatch,Easy,False
Arrays & Hashing,False,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,Easy,False
Arrays & Hashing,False,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays,Easy,False
Arrays & Hashing,False,Number of Students Unable to Eat Lunch,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/,Easy,False
Arrays & Hashing,False,Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets,Easy,False
Arrays & Hashing,False,Special Array with X Elements Greater than or Equal X,https://leetcode.com/problems/special-array-with-x-elements-greater-than-or-equal-x,Easy,False
